lib,arg_name,default,description
catboost,thread_count,No default,"Number of parallel threads used to run CatBoost.
If None or -1, then the number of threads is set to the number of CPU cores.
range: [1,+inf)"
catboost,random_seed,No default,"Random number seed.
If None, 0 is used.
range: [0,+inf)"
catboost,use_best_model,No default,"To limit the number of trees in predict() using information about the optimal value of the error function.
Can be used only with eval_set."
catboost,best_model_min_trees,No default,The minimal number of trees the best model should have.
catboost,verbose,No default,"When set to True, logging_level is set to 'Verbose'.
When set to False, logging_level is set to 'Silent'."
catboost,silent,No default,No description
catboost,logging_level,No default,"Possible values:
    - 'Silent'
    - 'Verbose'
    - 'Info'
    - 'Debug'"
catboost,metric_period,No default,The frequency of iterations to print the information to stdout. The value should be a positive integer.
catboost,simple_ctr,No default,"Binarization settings for categorical features.
    Format : see documentation
    Example: ['Borders:CtrBorderCount=5:Prior=0:Prior=0.5', 'BinarizedTargetMeanValue:TargetBorderCount=10:TargetBorderType=MinEntropy', ...]
    CTR types:
        CPU and GPU
        - 'Borders'
        - 'Buckets'
        CPU only
        - 'BinarizedTargetMeanValue'
        - 'Counter'
        GPU only
        - 'FloatTargetMeanValue'
        - 'FeatureFreq'
    Number_of_borders, binarization type, target borders and binarizations, priors are optional parametrs"
catboost,combinations_ctr,No default,No description
catboost,per_feature_ctr,No default,No description
catboost,ctr_target_border_count,No default,"Maximum number of borders used in target binarization for categorical features that need it.
If TargetBorderCount is specified in 'simple_ctr', 'combinations_ctr' or 'per_feature_ctr' option it
overrides this value.
range: [1, 255]"
catboost,ctr_leaf_count_limit,No default,"The maximum number of leaves with categorical features.
If the number of leaves exceeds the specified limit, some leaves are discarded.
The leaves to be discarded are selected as follows:
    - The leaves are sorted by the frequency of the values.
    - The top N leaves are selected, where N is the value specified in the parameter.
    - All leaves starting from N+1 are discarded.
This option reduces the resulting model size
and the amount of memory required for training.
Note that the resulting quality of the model can be affected.
range: [1,+inf) (for zero limit use ignored_features)"
catboost,store_all_simple_ctr,No default,"Ignore categorical features, which are not used in feature combinations,
when choosing candidates for exclusion.
Use this parameter with ctr_leaf_count_limit only."
catboost,max_ctr_complexity,No default,"The maximum number of Categ features that can be combined.
range: [0,+inf)"
catboost,has_time,No default,"To use the order in which objects are represented in the input data
(do not perform a random permutation of the dataset at the preprocessing stage)."
catboost,allow_const_label,No default,To allow the constant label value in dataset.
catboost,target_border,No default,Border for target binarization.
catboost,classes_count,No default,"The upper limit for the numeric class label.
Defines the number of classes for multiclassification.
Only non-negative integers can be specified.
The given integer should be greater than any of the target values.
If this parameter is specified the labels for all classes in the input dataset
should be smaller than the given value.
If several of 'classes_count', 'class_weights', 'class_names' parameters are defined
the numbers of classes specified by each of them must be equal."
catboost,class_weights,No default,"Classes weights. The values are used as multipliers for the object weights.
If None, all classes are supposed to have weight one.
If list - class weights in order of class_names or sequential classes if class_names is undefined
If dict - dict of class_name -> class_weight.
If several of 'classes_count', 'class_weights', 'class_names' parameters are defined
the numbers of classes specified by each of them must be equal."
catboost,auto_class_weights,No default,"Enables automatic class weights calculation. Possible values:
    - Balanced  # weight = maxSummaryClassWeight / summaryClassWeight, statistics determined from train pool
    - SqrtBalanced  # weight = sqrt(maxSummaryClassWeight / summaryClassWeight)"
catboost,class_names,values,"Class names. Allows to redefine the default values for class labels (integer numbers).
If several of 'classes_count', 'class_weights', 'class_names' parameters are defined
the numbers of classes specified by each of them must be equal."
catboost,one_hot_max_size,No default,"Convert the feature to float
if the number of different values that it takes exceeds the specified value.
Ctrs are not calculated for such features."
catboost,random_strength,No default,Score standard deviation multiplier.
catboost,random_score_type,No default,"Type of random noise added to scores.
Possible values:
    - 'Gumbel' - Gumbel-distributed
    - 'NormalWithModelSizeDecrease' - Normally-distributed with deviation decreasing with model iteration count
If None than 'NormalWithModelSizeDecrease' will be used by default."
catboost,name,No default,The name that should be displayed in the visualization tools.
catboost,ignored_features,No default,Indices or names of features that should be excluded when training.
catboost,train_dir,No default,The directory in which you want to record generated in the process of learning files.
catboost,custom_metric,No default,To use your own metric function.
catboost,custom_loss,No default,No description
catboost,eval_metric,No default,To optimize your custom metric in loss.
catboost,bagging_temperature,No default,"Controls intensity of Bayesian bagging. The higher the temperature the more aggressive bagging is.
Typical values are in range [0, 1] (0 - no bagging, 1 - default)."
catboost,save_snapshot,No default,Enable progress snapshotting for restoring progress after crashes or interruptions
catboost,snapshot_file,filename,"Learn progress snapshot file path, if None will use default filename"
catboost,snapshot_interval,No default,Interval between saving snapshots (seconds)
catboost,fold_len_multiplier,No default,Fold length multiplier. Should be greater than 1
catboost,used_ram_limit,No default,"Set a limit on memory consumption (value like '1.2gb' or 1.2e9).
WARNING: Currently this option affects CTR memory usage only."
catboost,gpu_ram_part,No default,"Fraction of the GPU RAM to use for training, a value from (0, 1]."
catboost,pinned_memory_size,No default,"Size of additional CPU pinned memory used for GPU learning,
usually is estimated automatically, thus usually should not be set."
catboost,allow_writing_files,No default,"If this flag is set to False, no files with different diagnostic info will be created during training.
With this flag no snapshotting can be done. Plus visualisation will not
work, because visualisation uses files that are created and updated during training."
catboost,final_ctr_computation_mode,No default,"Possible values:
    - 'Default' - Compute final ctrs for all pools.
    - 'Skip' - Skip final ctr computation. WARNING: model without ctrs can't be applied."
catboost,approx_on_full_history,No default,"If this flag is set to True, each approximated value is calculated using all the preceeding rows in the fold (slower, more accurate).
If this flag is set to False, each approximated value is calculated using only the beginning 1/fold_len_multiplier fraction of the fold (faster, slightly less accurate)."
catboost,boosting_type,No default,"Boosting scheme.
Possible values:
    - 'Ordered' - Gives better quality, but may slow down the training.
    - 'Plain' - The classic gradient boosting scheme. May result in quality degradation, but does not slow down the training."
catboost,task_type,No default,"The calcer type used to train the model.
Possible values:
    - 'CPU'
    - 'GPU'"
catboost,device_config,No default,No description
catboost,devices,No default,"String format is: '0' for 1 device or '0:1:3' for multiple devices or '0-3' for range of devices.
List format is : [0] for 1 device or [0,1,3] for multiple devices."
catboost,bootstrap_type,bootstrap,"Default bootstrap is Bayesian for GPU and MVS for CPU.
Poisson bootstrap is supported only on GPU.
MVS bootstrap is supported only on GPU."
catboost,subsample,No default,Sample rate for bagging. This parameter can be used Poisson or Bernoully bootstrap types.
catboost,mvs_reg,No default,Regularization parameter for MVS sampling algorithm
catboost,monotone_constraints,No default,Monotone constraints for features.
catboost,feature_weights,No default,Coefficient to multiply split gain with specific feature use. Should be non-negative.
catboost,penalties_coefficient,No default,Common coefficient for all penalties. Should be non-negative.
catboost,first_feature_use_penalties,No default,Penalties to first use of specific feature in model. Should be non-negative.
catboost,per_object_feature_penalties,No default,Penalties for first use of feature for each object. Should be non-negative.
catboost,sampling_frequency,No default,"Frequency to sample weights and objects when building trees.
Possible values:
    - 'PerTree' - Before constructing each new tree
    - 'PerTreeLevel' - Before choosing each new split of a tree"
catboost,sampling_unit,No default,"Possible values:
    - 'Object'
    - 'Group'
The parameter allows to specify the sampling scheme:
sample weights for each object individually or for an entire group of objects together."
catboost,dev_score_calc_obj_block_size,No default,"CPU only. Size of block of samples in score calculation. Should be > 0
Used only for learning speed tuning.
Changing this parameter can affect results due to numerical accuracy differences"
catboost,dev_efb_max_buckets,No default,"CPU only. Maximum bucket count in exclusive features bundle. Should be in an integer between 0 and 65536.
Used only for learning speed tuning."
catboost,sparse_features_conflict_fraction,No default,"CPU only. Maximum allowed fraction of conflicting non-default values for features in exclusive features bundle.
Should be a real value in [0, 1) interval."
catboost,grow_policy,No default,The tree growing policy. It describes how to perform greedy tree construction.
catboost,min_data_in_leaf,No default,"The minimum training samples count in leaf.
CatBoost will not search for new splits in leaves with samples count less than min_data_in_leaf.
This parameter is used only for Depthwise and Lossguide growing policies."
catboost,max_leaves,No default,"The maximum leaf count in resulting tree.
This parameter is used only for Lossguide growing policy."
catboost,score_function,No default,"For growing policy Lossguide default=NewtonL2.
GPU only. Score that is used during tree construction to select the next tree split."
catboost,max_depth,No default,No description
catboost,n_estimators,No default,No description
catboost,num_trees,No default,No description
catboost,num_boost_round,No default,No description
catboost,colsample_bylevel,No default,No description
catboost,random_state,No default,No description
catboost,reg_lambda,No default,No description
catboost,objective,No default,No description
catboost,num_leaves,No default,No description
catboost,min_child_samples,No default,No description
catboost,eta,No default,No description
catboost,max_bin,No default,No description
catboost,scale_pos_weight,No default,"Can be used only for binary classification. Sets weight multiplier for
class 1 to scale_pos_weight value."
catboost,metadata,No default,No description
catboost,early_stopping_rounds,No default,Synonym for od_wait. Only one of these parameters should be set.
catboost,cat_features,No default,"If not None, giving the list of Categ features indices or names (names are represented as strings).
If it contains feature names, feature names must be defined for the training dataset passed to 'fit'."
catboost,text_features,No default,"If not None, giving the list of Text features indices or names (names are represented as strings).
If it contains feature names, feature names must be defined for the training dataset passed to 'fit'."
catboost,embedding_features,No default,"If not None, giving the list of Embedding features indices or names (names are represented as strings).
If it contains feature names, feature names must be defined for the training dataset passed to 'fit'."
catboost,leaf_estimation_backtracking,No default,"Type of backtracking during gradient descent.
Possible values:
    - 'No' - never backtrack; supported on CPU and GPU
    - 'AnyImprovement' - reduce the descent step until the value of loss function is less than before the step; supported on CPU and GPU
    - 'Armijo' - reduce the descent step until Armijo condition is satisfied; supported on GPU only"
catboost,model_shrink_rate,No default,"This parameter enables shrinkage of model at the start of each iteration. CPU only.
For Constant mode shrinkage coefficient is calculated as (1 - model_shrink_rate * learning_rate).
For Decreasing mode shrinkage coefficient is calculated as (1 - model_shrink_rate / iteration).
Shrinkage coefficient should be in [0, 1)."
catboost,model_shrink_mode,No default,"Mode of shrinkage coefficient calculation. CPU only.
Possible values:
    - 'Constant' - Shrinkage coefficient is constant at each iteration.
    - 'Decreasing' - Shrinkage coefficient decreases at each iteration."
catboost,langevin,No default,Enables the Stochastic Gradient Langevin Boosting. CPU only.
catboost,diffusion_temperature,No default,Langevin boosting diffusion temperature. CPU only.
catboost,posterior_sampling,No default,"Set group of parameters for further use Uncertainty prediction:
    - Langevin = True
    - Model Shrink Rate = 1/(2N), where N is dataset size
    - Model Shrink Mode = Constant
    - Diffusion-temperature = N, where N is dataset size. CPU only."
catboost,boost_from_average,No default,"Enables to initialize approx values by best constant value for specified loss function.
Available for RMSE, Logloss, CrossEntropy, Quantile and MAE."
catboost,tokenizers,No default,"Each dict is a tokenizer description. Example:
```
[
    {
        'tokenizer_id': 'Tokenizer',  # Tokeinzer identifier.
        'lowercasing': 'false',  # Possible values: 'true', 'false'.
        'number_process_policy': 'LeaveAsIs',  # Possible values: 'Skip', 'LeaveAsIs', 'Replace'.
        'number_token': '%',  # Rarely used character. Used in conjunction with Replace NumberProcessPolicy.
        'separator_type': 'ByDelimiter',  # Possible values: 'ByDelimiter', 'BySense'.
        'delimiter': ' ',  # Used in conjunction with ByDelimiter SeparatorType.
        'split_by_set': 'false',  # Each single character in delimiter used as individual delimiter.
        'skip_empty': 'true',  # Possible values: 'true', 'false'.
        'token_types': ['Word', 'Number', 'Unknown'],  # Used in conjunction with BySense SeparatorType.
            # Possible values: 'Word', 'Number', 'Punctuation', 'SentenceBreak', 'ParagraphBreak', 'Unknown'.
        'subtokens_policy': 'SingleToken',  # Possible values:
            # 'SingleToken' - All subtokens are interpreted as single token).
            # 'SeveralTokens' - All subtokens are interpreted as several token.
    },
    ...
]
```"
catboost,dictionaries,No default,"Each dict is a tokenizer description. Example:
```
[
    {
        'dictionary_id': 'Dictionary',  # Dictionary identifier.
        'token_level_type': 'Word',  # Possible values: 'Word', 'Letter'.
        'gram_order': '1',  # 1 for Unigram, 2 for Bigram, ...
        'skip_step': '0',  # 1 for 1-skip-gram, ...
        'end_of_word_token_policy': 'Insert',  # Possible values: 'Insert', 'Skip'.
        'end_of_sentence_token_policy': 'Skip',  # Possible values: 'Insert', 'Skip'.
        'occurrence_lower_bound': '3',  # The lower bound of token occurrences in the text to include it in the dictionary.
        'max_dictionary_size': '50000',  # The max dictionary size.
    },
    ...
]
```"
catboost,feature_calcers,No default,"Each string is a calcer description. Example:
```
[
    'NaiveBayes',
    'BM25',
    'BoW:top_tokens_count=2000',
]
```"
catboost,text_processing,No default,Text processging description.
catboost,eval_fraction,No default,Fraction of the train dataset to be used as the evaluation dataset.
