algorithm,parameter_name,typeinfo,default,description,optional
CatBoostClassifier,model_shrink_mode,string,None,"Mode of shrinkage coefficient calculation. CPU only.
Possible values:
    - 'Constant' - Shrinkage coefficient is constant at each iteration.
    - 'Decreasing' - Shrinkage coefficient decreases at each iteration.",True
CatBoostClassifier,langevin,bool,False,Enables the Stochastic Gradient Langevin Boosting. CPU only.,True
CatBoostClassifier,diffusion_temperature,float,0,Langevin boosting diffusion temperature. CPU only.,True
CatBoostClassifier,posterior_sampling,bool,False,"Set group of parameters for further use Uncertainty prediction:
    - Langevin = True
    - Model Shrink Rate = 1/(2N), where N is dataset size
    - Model Shrink Mode = Constant
    - Diffusion-temperature = N, where N is dataset size. CPU only.",True
CatBoostClassifier,boost_from_average,bool,"True for RMSE, False for other losses","Enables to initialize approx values by best constant value for specified loss function.
Available for RMSE, Logloss, CrossEntropy, Quantile and MAE.",True
CatBoostClassifier,tokenizers,list of dicts,no default,"Each dict is a tokenizer description. Example:
```
[
    {
        'tokenizer_id': 'Tokenizer',  # Tokeinzer identifier.
        'lowercasing': 'false',  # Possible values: 'true', 'false'.
        'number_process_policy': 'LeaveAsIs',  # Possible values: 'Skip', 'LeaveAsIs', 'Replace'.
        'number_token': '%',  # Rarely used character. Used in conjunction with Replace NumberProcessPolicy.
        'separator_type': 'ByDelimiter',  # Possible values: 'ByDelimiter', 'BySense'.
        'delimiter': ' ',  # Used in conjunction with ByDelimiter SeparatorType.
        'split_by_set': 'false',  # Each single character in delimiter used as individual delimiter.
        'skip_empty': 'true',  # Possible values: 'true', 'false'.
        'token_types': ['Word', 'Number', 'Unknown'],  # Used in conjunction with BySense SeparatorType.
            # Possible values: 'Word', 'Number', 'Punctuation', 'SentenceBreak', 'ParagraphBreak', 'Unknown'.
        'subtokens_policy': 'SingleToken',  # Possible values:
            # 'SingleToken' - All subtokens are interpreted as single token).
            # 'SeveralTokens' - All subtokens are interpreted as several token.
    },
    ...
]
```",True
CatBoostClassifier,dictionaries,list of dicts,no default,"Each dict is a tokenizer description. Example:
```
[
    {
        'dictionary_id': 'Dictionary',  # Dictionary identifier.
        'token_level_type': 'Word',  # Possible values: 'Word', 'Letter'.
        'gram_order': '1',  # 1 for Unigram, 2 for Bigram, ...
        'skip_step': '0',  # 1 for 1-skip-gram, ...
        'end_of_word_token_policy': 'Insert',  # Possible values: 'Insert', 'Skip'.
        'end_of_sentence_token_policy': 'Skip',  # Possible values: 'Insert', 'Skip'.
        'occurrence_lower_bound': '3',  # The lower bound of token occurrences in the text to include it in the dictionary.
        'max_dictionary_size': '50000',  # The max dictionary size.
    },
    ...
]
```",True
CatBoostClassifier,feature_calcers,list of strings,no default,"Each string is a calcer description. Example:
```
[
    'NaiveBayes',
    'BM25',
    'BoW:top_tokens_count=2000',
]
```",True
CatBoostClassifier,text_processing,dict,no default,Text processging description.,True
CatBoostClassifier,eval_fraction,float,None,Fraction of the train dataset to be used as the evaluation dataset.,True
LGBMClassifier,boosting_type,str,No default,"'gbdt', traditional Gradient Boosting Decision Tree.
'dart', Dropouts meet Multiple Additive Regression Trees.
'rf', Random Forest.",True
LGBMClassifier,num_leaves,int,No default,Maximum tree leaves for base learners.,True
LGBMClassifier,max_depth,int,No default,"Maximum tree depth for base learners, <=0 means no limit.",True
LGBMClassifier,learning_rate,float,No default,"Boosting learning rate.
You can use ``callbacks`` parameter of ``fit`` method to shrink/adapt learning rate
in training using ``reset_parameter`` callback.
Note, that this will ignore the ``learning_rate`` argument in training.",True
LGBMClassifier,n_estimators,int,No default,Number of boosted trees to fit.,True
LGBMClassifier,subsample_for_bin,int,No default,Number of samples for constructing bins.,True
LGBMClassifier,objective,str,No default,"Specify the learning task and the corresponding learning objective or
a custom objective function to be used (see note below).
Default: 'regression' for LGBMRegressor, 'binary' or 'multiclass' for LGBMClassifier, 'lambdarank' for LGBMRanker.",True
LGBMClassifier,class_weight,dict,No default,"Weights associated with classes in the form ``{class_label: weight}``.
Use this parameter only for multi-class classification task;
for binary classification task you may use ``is_unbalance`` or ``scale_pos_weight`` parameters.
Note, that the usage of all these parameters will result in poor estimates of the individual class probabilities.
You may want to consider performing probability calibration
(https://scikit-learn.org/stable/modules/calibration.html) of your model.
The 'balanced' mode uses the values of y to automatically adjust weights
inversely proportional to class frequencies in the input data as ``n_samples / (n_classes * np.bincount(y))``.
If None, all classes are supposed to have weight one.
Note, that these weights will be multiplied with ``sample_weight`` (passed through the ``fit`` method)
if ``sample_weight`` is specified.",True
LGBMClassifier,min_split_gain,float,No default,Minimum loss reduction required to make a further partition on a leaf node of the tree.,True
LGBMClassifier,min_child_weight,float,No default,Minimum sum of instance weight (Hessian) needed in a child (leaf).,True
LGBMClassifier,min_child_samples,int,No default,Minimum number of data needed in a child (leaf).,True
LGBMClassifier,subsample,float,No default,Subsample ratio of the training instance.,True
LGBMClassifier,subsample_freq,int,No default,"Frequency of subsample, <=0 means no enable.",True
LGBMClassifier,colsample_bytree,float,No default,Subsample ratio of columns when constructing each tree.,True
LGBMClassifier,reg_alpha,float,No default,L1 regularization term on weights.,True
LGBMClassifier,reg_lambda,float,No default,L2 regularization term on weights.,True
LGBMClassifier,random_state,int,seeds,"Random number seed.
If int, this number is used to seed the C++ code.
If RandomState or Generator object (numpy), a random integer is picked based on its state to seed the C++ code.
If None, default seeds in C++ code are used.",True
LGBMClassifier,n_jobs,int or None,number,"Number of parallel threads to use for training (can be changed at prediction time by
passing it as an extra keyword argument).

For better performance, it is recommended to set this to the number of physical cores
in the CPU.

Negative integers are interpreted as following joblib's formula (n_cpus + 1 + n_jobs), just like
scikit-learn (so e.g. -1 means using all threads). A value of zero corresponds the default number of
threads configured for OpenMP in the system. A value of ``None`` (the default) corresponds
to using the number of physical cores in the system (its correct detection requires
either the ``joblib`` or the ``psutil`` util libraries to be installed).

.. versionchanged:: 4.0.0",True
LGBMClassifier,importance_type,str,No default,"The type of feature importance to be filled into ``feature_importances_``.
If 'split', result contains numbers of times the feature is used in a model.
If 'gain', result contains total gains of splits which use the feature.",True
LGBMClassifier,**kwargs,,No default,"Other parameters for the model.
Check http://lightgbm.readthedocs.io/en/latest/Parameters.html for more parameters.

.. warning::

    \*\*kwargs is not supported in sklearn, it may cause unexpected issues.",False
XGBClassifier,n_estimators,int,No default,Number of boosting rounds.,True
XGBClassifier,max_depth,int,No default,Maximum tree depth for base learners.,True
XGBClassifier,max_leaves,any,No default,"Maximum number of leaves, 0 indicates no limit.",False
XGBClassifier,max_bin,any,No default,"If using histogram-based algorithm, maximum number of bins per feature",False
XGBClassifier,grow_policy,any,No default,"Tree growing policy. 0: favor splitting at nodes closest to the node, i.e. grow
depth-wise. 1: favor splitting at nodes with highest loss change.",False
XGBClassifier,learning_rate,float,No default,"Boosting learning rate (xgb's ""eta"")",True
XGBClassifier,verbosity,int,No default,The degree of verbosity. Valid values are 0 (silent) - 3 (debug).,True
XGBClassifier,objective,"typing.Union[str, typing.Callable[[numpy.ndarray, numpy.ndarray], typing.Tuple[numpy.ndarray, numpy.ndarray]], NoneType]",No default,"Specify the learning task and the corresponding learning objective or
a custom objective function to be used (see note below).",False
XGBClassifier,booster,str,No default,"Specify which booster to use: gbtree, gblinear or dart.",True
XGBClassifier,tree_method,str,to,"Specify which tree method to use.  Default to auto.  If this parameter is set to
default, XGBoost will choose the most conservative option available.  It's
recommended to study this option from the parameters document :doc:`tree method
</treemethod>`",True
XGBClassifier,n_jobs,int,No default,"Number of parallel threads used to run xgboost.  When used with other
Scikit-Learn algorithms like grid search, you may choose which algorithm to
parallelize and balance the threads.  Creating thread contention will
significantly slow down both algorithms.",True
XGBClassifier,gamma,float,No default,"(min_split_loss) Minimum loss reduction required to make a further partition on a
leaf node of the tree.",True
XGBClassifier,min_child_weight,float,No default,Minimum sum of instance weight(hessian) needed in a child.,True
XGBClassifier,max_delta_step,float,No default,Maximum delta step we allow each tree's weight estimation to be.,True
XGBClassifier,subsample,float,No default,Subsample ratio of the training instance.,True
XGBClassifier,sampling_method,any,No default,"Sampling method. Used only by the GPU version of ``hist`` tree method.
  - ``uniform``: select random training instances uniformly.
  - ``gradient_based`` select random training instances with higher probability
    when the gradient and hessian are larger. (cf. CatBoost)",False
XGBClassifier,colsample_bytree,float,No default,Subsample ratio of columns when constructing each tree.,True
XGBClassifier,colsample_bylevel,float,No default,Subsample ratio of columns for each level.,True
XGBClassifier,colsample_bynode,float,No default,Subsample ratio of columns for each split.,True
XGBClassifier,reg_alpha,float,No default,L1 regularization term on weights (xgb's alpha).,True
XGBClassifier,reg_lambda,float,No default,L2 regularization term on weights (xgb's lambda).,True
XGBClassifier,scale_pos_weight,float,No default,Balancing of positive and negative weights.,True
XGBClassifier,base_score,float,No default,"The initial prediction score of all instances, global bias.",True
XGBClassifier,random_state,"Optional[Union[numpy.random.RandomState, int]]",No default,"Random number seed.

.. note::

   Using gblinear booster with shotgun updater is nondeterministic as
   it uses Hogwild algorithm.",True
XGBClassifier,missing,"float, default np.nan",No default,Value in the data which needs to be present as a missing value.,False
XGBClassifier,num_parallel_tree,int,No default,Used for boosting random forest.,True
XGBClassifier,monotone_constraints,"Optional[Union[Dict[str, int], str]]",No default,"Constraint of variable monotonicity.  See :doc:`tutorial </tutorials/monotonic>`
for more information.",True
XGBClassifier,importance_type,str,No default,"The feature importance type for the feature_importances\_ property:

* For tree model, it's either ""gain"", ""weight"", ""cover"", ""total_gain"" or
  ""total_cover"".
* For linear model, only ""weight"" is defined and it's the normalized coefficients
  without bias.",True
XGBClassifier,device,str,No default,".. versionadded:: 2.0.0

Device ordinal, available options are `cpu`, `cuda`, and `gpu`.",True
XGBClassifier,validate_parameters,bool,No default,Give warnings for unknown parameter.,True
XGBClassifier,enable_categorical,bool,No default,".. versionadded:: 1.5.0

.. note:: This parameter is experimental

Experimental support for categorical data.  When enabled, cudf/pandas.DataFrame
should be used to specify categorical data type.  Also, JSON/UBJSON
serialization format is required.",False
XGBClassifier,max_cat_to_onehot,int,No default,".. versionadded:: 1.6.0

.. note:: This parameter is experimental

A threshold for deciding whether XGBoost should use one-hot encoding based split
for categorical data.  When number of categories is lesser than the threshold
then one-hot encoding is chosen, otherwise the categories will be partitioned
into children nodes. Also, `enable_categorical` needs to be set to have
categorical feature support. See :doc:`Categorical Data
</tutorials/categorical>` and :ref:`cat-param` for details.",True
XGBClassifier,max_cat_threshold,int,No default,".. versionadded:: 1.7.0

.. note:: This parameter is experimental

Maximum number of categories considered for each split. Used only by
partition-based splits for preventing over-fitting. Also, `enable_categorical`
needs to be set to have categorical feature support. See :doc:`Categorical Data
</tutorials/categorical>` and :ref:`cat-param` for details.",True
XGBClassifier,multi_strategy,str,No default,".. versionadded:: 2.0.0

.. note:: This parameter is working-in-progress.

The strategy used for training multi-target models, including multi-target
regression and multi-class classification. See :doc:`/tutorials/multioutput` for
more information.

- ``one_output_per_tree``: One model for each target.
- ``multi_output_tree``:  Use multi-target trees.",True
XGBClassifier,early_stopping_rounds,int,No default,".. versionadded:: 1.6.0

- Activates early stopping. Validation metric needs to improve at least once in
  every **early_stopping_rounds** round(s) to continue training.  Requires at
  least one item in **eval_set** in :py:meth:`fit`.

- If early stopping occurs, the model will have two additional attributes:
  :py:attr:`best_score` and :py:attr:`best_iteration`. These are used by the
  :py:meth:`predict` and :py:meth:`apply` methods to determine the optimal
  number of trees during inference. If users want to access the full model
  (including trees built after early stopping), they can specify the
  `iteration_range` in these inference methods. In addition, other utilities
  like model plotting can also use the entire model.

- If you prefer to discard the trees after `best_iteration`, consider using the
  callback function :py:class:`xgboost.callback.EarlyStopping`.

- If there's more than one item in **eval_set**, the last entry will be used for
  early stopping.  If there's more than one metric in **eval_metric**, the last
  metric will be used for early stopping.

.. note::

    This parameter replaces `early_stopping_rounds` in :py:meth:`fit` method.",True
